secondarykey,Index Value
4.2,11193052
4.2,6815692
4.2,8061145
4.2,6816838
4.2,604255
4.2,7356122
4.2,9641664
4.2,12738032
4.2,1466797
4.2,10095292
4.2,11197314
4.2,1459329
4.2,8328059
4.2,11199209
4.2,621569
4.2,11200970
4.2,1467751
4.2,504205
4.2,602562
4.2,6759755
4.2,569820
4.2,11174944
4.2,8390161
4.2,9829301
4.2,2795905
4.2,57755
4.2,10107614
4.2,6708462
4.2,1143257
4.2,1541227
4.2,1502043
4.2,9499313
4.2,6710249
4.2,4203007
4.2,3657605
4.2,11177227
4.2,12668341
4.2,8373218
4.2,10105083
4.2,1166505
4.2,587642
4.2,85833
4.2,1146045
4.2,5940805
4.2,5071944
4.2,11932025
4.2,10500919
4.2,4778530
4.2,2357582
4.2,5201433
4.2,11863684
4.2,2019479
4.2,5204016
4.2,5604006
4.2,2539571
4.2,12956810
4.2,8954878
4.2,12304617
4.2,2176128
4.2,2014179
4.2,2184244
4.2,5802293
4.2,11915578
4.2,10910911
4.2,1946085
4.2,10910213
4.2,219929
4.2,220810
4.2,12405709
4.2,2010126
4.2,1950572
4.2,10920361
4.2,2591629
4.2,5822806
4.2,5831756
4.2,5150115
4.2,2516572
4.2,3332627
4.2,3334157
4.2,5153143
4.2,12293841
4.2,5153374
4.2,2394092
4.2,10778385
4.2,2664804
4.2,9264180
4.2,5856691
4.2,12218349
4.2,8766507
4.2,5044686
4.2,2384829
4.2,2384243
4.2,2521004
4.2,12220790
4.2,2527682
4.2,2529705
4.2,10964954
4.2,9212141
4.2,3506953
4.2,2362854
4.2,2660973
4.2,5748739
4.2,2007734
4.2,5619537
4.2,4992225
4.2,5652119
4.2,2232954
4.2,2287086
4.2,5313765
4.2,5656791
4.2,5703917
4.2,2242381
4.2,12997493
4.2,2643741
4.2,5309473
4.2,2245584
4.2,5005541
4.2,11866708
4.2,2643200
4.2,1980724
4.2,1987995
4.2,1987146
4.2,10882250
4.2,8798211
4.2,2248233
4.2,10889515
4.2,2252060
4.2,8808597
4.2,2258086
4.2,2291008
4.2,3280394
4.2,2645538
4.2,5265056
4.2,2207072
4.2,9060233
4.2,2211360
4.2,2213100
4.2,2213470
4.2,3386501
4.2,5742342
4.2,5735582
4.2,9050657
4.2,10981031
4.2,5731526
4.2,10875785
4.2,2514943
4.2,5629409
4.2,10996808
4.2,8823264
4.2,2222121
4.2,2223457
4.2,5252343
4.2,2646567
4.2,2307225
4.2,11882530
4.2,2305799
4.2,2303062
4.2,12264729
4.2,9032412
4.2,12994867
4.2,12985411
4.2,2361235
4.2,12363982
4.2,12364868
4.2,12901212
4.2,171686
4.2,5133207
4.2,8730330
4.2,12438202
4.2,10849605
4.2,12288725
4.2,11815952
4.2,3314172
4.2,9156917
4.2,5076443
4.2,2471408
4.2,12279792
4.2,4951599
4.2,10949953
4.2,11897531
4.2,2095834
4.2,12238539
4.2,2486927
4.2,12441430
4.2,2671787
4.2,9161289
4.2,286153
4.2,12249903
4.2,11846637
4.2,5116902
4.2,4901833
4.2,176669
4.2,2076921
