PrimaryKey,Index Value
491.0,166492
492.0,167014
493.0,167315
497.0,167675
498.0,167988
500.0,168309
501.0,168878
502.0,169163
504.0,169758
505.0,170353
506.0,171290
510.0,171686
511.0,172049
513.0,172999
514.0,173394
515.0,173806
516.0,174242
518.0,175498
519.0,175814
520.0,176206
521.0,176669
522.0,176973
523.0,177272
524.0,177641
525.0,177933
526.0,178492
527.0,179175
530.0,179570
532.0,179888
533.0,180211
534.0,180551
535.0,180896
536.0,181192
537.0,181474
538.0,182092
539.0,182401
540.0,183015
542.0,183424
545.0,183897
546.0,186041
547.0,186486
548.0,186854
549.0,187301
551.0,187698
553.0,187970
554.0,188310
556.0,188651
557.0,189072
558.0,189362
559.0,189820
560.0,190713
561.0,191004
562.0,191353
564.0,191710
566.0,192003
568.0,192398
569.0,192901
570.0,193367
571.0,193662
572.0,194012
573.0,194662
574.0,195089
578.0,195787
580.0,196160
581.0,196521
582.0,196824
583.0,197207
584.0,197568
585.0,197918
586.0,198307
588.0,198584
589.0,198855
592.0,199293
593.0,199744
594.0,200120
596.0,200438
597.0,201057
598.0,201396
600.0,201860
601.0,202140
602.0,202566
603.0,202961
605.0,203256
606.0,203640
608.0,204113
609.0,204740
610.0,205054
611.0,205441
614.0,205735
615.0,206166
616.0,206467
617.0,206750
618.0,207051
619.0,207345
620.0,207644
621.0,208113
622.0,208432
623.0,208732
624.0,209291
627.0,209597
628.0,209868
629.0,210302
630.0,210674
631.0,211004
632.0,211334
635.0,211613
637.0,211907
638.0,212599
639.0,212985
640.0,213269
641.0,213688
642.0,213990
643.0,214531
644.0,214905
645.0,215176
647.0,215618
648.0,216668
650.0,217039
651.0,217448
652.0,217812
653.0,218332
654.0,219381
655.0,219929
656.0,220810
657.0,221571
658.0,222106
659.0,222413
660.0,222811
661.0,223124
663.0,223540
664.0,224540
665.0,224989
666.0,225584
667.0,225995
668.0,226359
669.0,226673
670.0,227937
671.0,228398
672.0,229056
673.0,229467
674.0,229825
677.0,230246
678.0,230544
679.0,230886
680.0,231180
681.0,231722
682.0,232276
684.0,232782
685.0,233460
686.0,234181
687.0,234364
688.0,234590
689.0,234761
690.0,234918
691.0,235154
692.0,235371
693.0,235588
694.0,235767
695.0,235964
696.0,236163
698.0,236391
700.0,236556
701.0,236778
702.0,237005
703.0,237197
704.0,237374
705.0,237585
706.0,237783
708.0,237967
709.0,238218
710.0,238370
711.0,238586
713.0,238801
715.0,238970
716.0,239196
718.0,239407
721.0,239606
722.0,239757
724.0,239940
725.0,240129
726.0,240306
